,indexAudible,nombreAutor
1032,821,LuisaVillarLiébana
1033,822,Mattel
1034,823,LuisaVillarLiébana
1035,824,BarbaraIland-Olschewski
1036,825,Mattel
1037,826,LuisaVillarLiébana
1038,827,Mattel
1039,828,Mattel
1040,829,LuisaVillarLiébana
1041,830,Mattel
1042,831,eOne
1043,831,NicolásOluchaSánchez-traductor
1044,832,eOne
1045,832,NicolásOluchaSánchez-traductor
1046,833,BarbaraRose
1047,834,AbiElphinstone
1048,834,AnnettevonderWeppen-Übersetzer
1049,835,SvenGerhardt
1050,836,AdamBaron
1051,836,UteMihr-Übersetzer
1052,837,LuisaVillarLiébana
1053,838,ChrisColfer
1054,839,YvetteFielding
1055,840,DerekKeilty
1056,841,RachelDelahaye
1057,842,DickKing-Smith
1058,842,JosieRogers
1059,843,K.A.Applegate
1060,844,DermotWhelan
1061,845,MattyLong
1062,846,SJKing
1063,847,LeeNewbery
1064,847,LauraCatalán-illustrator
1065,848,KatherineApplegate
1066,849,RalphLazar
1067,850,PhilipPullman
1068,851,PhilipPullman
1069,852,JasonSheehan
1070,853,RonRoy
1071,854,DelilahS.Dawson
1072,855,VeronicaMang
1073,856,TerriFarley
